,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
Column 1,0.001151139,,,,,,,,,,,,,,,,,
Column 2,0.001218,0.001310667,,,,,,,,,,,,,,,,
Column 3,0.001305111,0.001411167,0.001534889,,,,,,,,,,,,,,,
Column 4,0.001393361,0.001504667,0.001647889,0.001786139,,,,,,,,,,,,,,
Column 5,0.0014625,0.001575833,0.001735833,0.0018975,0.002038333,,,,,,,,,,,,,
Column 6,0.001567889,0.001683667,0.001863778,0.002053444,0.002225,0.002456556,,,,,,,,,,,,
Column 7,0.001650778,0.001764833,0.001961722,0.002180222,0.002386667,0.002664778,0.002932889,,,,,,,,,,,
Column 8,0.001735111,0.001845333,0.002058222,0.002305389,0.002545,0.002867111,0.003185056,0.003488222,,,,,,,,,,
Column 9,0.001818556,0.001929,0.002157278,0.002429944,0.002699167,0.003059222,0.003422611,0.003767278,0.004086222,,,,,,,,,
Column 10,0.001913389,0.002021,0.002263278,0.002558944,0.002853333,0.003247722,0.003652111,0.004034111,0.004387389,0.004727889,,,,,,,,
Column 11,0.001942056,0.002045333,0.002292944,0.002602611,0.0029125,0.003326556,0.003756444,0.004163778,0.004538389,0.004899389,0.005089889,,,,,,,
Column 12,0.001973389,0.0020735,0.002327444,0.002646444,0.002965,0.003390222,0.003834611,0.004255778,0.004644056,0.005022056,0.005224389,0.005374556,,,,,,
Column 13,0.001969889,0.002067167,0.002321778,0.002644611,0.0029675,0.003398722,0.003854944,0.004285944,0.004682722,0.005071722,0.005282889,0.005442556,0.005521556,,,,,
Column 14,0.001953528,0.002052667,0.002306056,0.002627972,0.002950833,0.003382444,0.003842389,0.004276056,0.004676278,0.005070111,0.005287444,0.005455111,0.005542278,0.005579139,,,,
Column 15,0.001940917,0.0020415,0.002296167,0.002620917,0.002945833,0.003381167,0.003849,0.004288667,0.004695667,0.005101,0.005327,0.005506,0.005603833,0.00565475,0.00575025,,,
Column 16,0.001956583,0.0020585,0.002313,0.00264075,0.00297,0.003413,0.003891833,0.004341333,0.004756833,0.005173167,0.005408,0.005594833,0.005701167,0.005766083,0.005876417,0.00602025,,
Column 17,0.001974528,0.002079833,0.002335056,0.002662306,0.0029875,0.003428944,0.003904556,0.004351722,0.004765944,0.005186278,0.005423111,0.005617111,0.005729111,0.005804472,0.005926917,0.006081417,0.006157472,
Column 18,0.0019645,0.0020735,0.002326333,0.002647,0.002964167,0.003397167,0.0038635,0.004302167,0.0047085,0.005127333,0.005363,0.005562333,0.0056795,0.005763167,0.005897667,0.006059833,0.006146833,0.006152333
