,Date,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18
0,2015-12-21,100.155,100.185,100.195,100.19,100.17,100.14,100.1,100.05,99.99,99.915,99.835,99.745,99.66,99.575,99.495,99.41,99.33,99.255
1,2015-12-18,100.165,100.19,100.2,100.195,100.18,100.15,100.11,100.065,100.005,99.93,99.85,99.76,99.675,99.595,99.51,99.425,99.345,99.265
2,2015-12-17,100.165,100.185,100.195,100.19,100.175,100.145,100.1,100.05,99.985,99.91,99.825,99.735,99.645,99.555,99.47,99.38,99.295,99.215
3,2015-12-16,100.16,100.18,100.185,100.175,100.155,100.125,100.08,100.025,99.96,99.88,99.79,99.69,99.595,99.5,99.405,99.31,99.225,99.14
4,2015-12-15,100.165,100.18,100.185,100.18,100.16,100.13,100.09,100.04,99.975,99.895,99.81,99.715,99.625,99.53,99.435,99.34,99.25,99.16
5,2015-12-14,100.16,100.18,100.19,100.19,100.18,100.155,100.125,100.08,100.025,99.955,99.875,99.785,99.7,99.61,99.525,99.435,99.35,99.265
6,2015-12-11,100.16,100.175,100.19,100.195,100.185,100.165,100.135,100.095,100.04,99.975,99.9,99.815,99.73,99.645,99.565,99.48,99.4,99.32
7,2015-12-10,100.155,100.17,100.18,100.18,100.17,100.145,100.11,100.07,100.015,99.95,99.875,99.79,99.705,99.62,99.54,99.455,99.37,99.29
8,2015-12-09,100.15,100.165,100.175,100.17,100.155,100.13,100.1,100.055,99.995,99.93,99.85,99.765,99.685,99.6,99.52,99.435,99.355,99.28
9,2015-12-08,100.16,100.175,100.18,100.175,100.155,100.13,100.095,100.05,99.995,99.93,99.85,99.765,99.685,99.605,99.53,99.45,99.375,99.295
10,2015-12-07,100.15,100.165,100.17,100.17,100.155,100.13,100.095,100.055,99.995,99.925,99.85,99.76,99.675,99.59,99.51,99.43,99.355,99.275
11,2015-12-04,100.13,100.14,100.145,100.14,100.125,100.095,100.055,100.01,99.95,99.87,99.79,99.695,99.605,99.515,99.425,99.335,99.245,99.155
12,2015-12-03,100.125,100.13,100.13,100.125,100.115,100.09,100.065,100.025,99.975,99.91,99.835,99.75,99.665,99.58,99.495,99.41,99.325,99.24
13,2015-12-02,100.245,100.27,100.285,100.285,100.275,100.26,100.23,100.19,100.135,100.065,99.985,99.895,99.805,99.72,99.635,99.555,99.475,99.395
14,2015-12-01,100.245,100.27,100.28,100.28,100.27,100.245,100.215,100.17,100.115,100.05,99.97,99.88,99.795,99.71,99.63,99.55,99.47,99.39
15,2015-11-30,100.23,100.25,100.26,100.26,100.245,100.22,100.185,100.14,100.085,100.02,99.94,99.85,99.76,99.675,99.59,99.505,99.425,99.34
16,2015-11-27,100.24,100.255,100.265,100.265,100.25,100.23,100.2,100.16,100.105,100.04,99.965,99.88,99.795,99.705,99.615,99.525,99.44,99.355
17,2015-11-26,100.23,100.245,100.255,100.255,100.245,100.22,100.185,100.145,100.09,100.025,99.95,99.865,99.78,99.69,99.605,99.515,99.435,99.355
18,2015-11-25,100.23,100.245,100.255,100.255,100.24,100.215,100.18,100.14,100.085,100.02,99.94,99.855,99.77,99.68,99.595,99.51,99.43,99.35
19,2015-11-24,100.195,100.215,100.235,100.24,100.23,100.21,100.175,100.13,100.075,100.01,99.93,99.845,99.755,99.665,99.58,99.49,99.41,99.325
20,2015-11-23,100.21,100.235,100.255,100.26,100.25,100.225,100.19,100.145,100.09,100.02,99.935,99.845,99.755,99.66,99.57,99.475,99.39,99.305
21,2015-11-20,100.205,100.23,100.245,100.25,100.24,100.215,100.18,100.135,100.08,100.01,99.935,99.85,99.765,99.68,99.595,99.51,99.43,99.345
22,2015-11-19,100.185,100.21,100.22,100.215,100.2,100.175,100.14,100.095,100.04,99.975,99.9,99.82,99.735,99.65,99.57,99.485,99.405,99.32
23,2015-11-18,100.18,100.205,100.22,100.22,100.205,100.175,100.135,100.09,100.03,99.96,99.88,99.795,99.71,99.62,99.535,99.45,99.365,99.28
24,2015-11-17,100.185,100.21,100.225,100.225,100.205,100.175,100.135,100.085,100.025,99.955,99.875,99.79,99.7,99.61,99.525,99.435,99.35,99.265
25,2015-11-16,100.18,100.205,100.21,100.2,100.18,100.15,100.11,100.06,100.0,99.935,99.855,99.77,99.685,99.595,99.51,99.42,99.335,99.25
26,2015-11-13,100.185,100.205,100.21,100.2,100.18,100.145,100.105,100.055,99.995,99.925,99.845,99.76,99.675,99.585,99.5,99.41,99.325,99.24
27,2015-11-12,100.185,100.205,100.205,100.195,100.175,100.14,100.095,100.045,99.985,99.915,99.835,99.745,99.655,99.565,99.475,99.385,99.295,99.205
28,2015-11-11,100.18,100.205,100.205,100.195,100.175,100.14,100.095,100.045,99.985,99.915,99.835,99.75,99.66,99.57,99.48,99.39,99.3,99.21
29,2015-11-10,100.17,100.195,100.2,100.19,100.17,100.135,100.09,100.04,99.98,99.91,99.83,99.745,99.655,99.56,99.47,99.375,99.285,99.195
